1060095847	20210825	202108	2021	2021.6438	QAT	QATAR	QAT								PHL	MANILA	PHL								0	043	043	04	1	2.8	1	1	1	2.24358974358974	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	20220825063000	https://www.pna.gov.ph/articles/1182149
1060095848	20210825	202108	2021	2021.6438	QAT	QATAR	QAT								PHL	MANILA	PHL								0	046	046	04	1	7.0	7	1	7	2.24358974358974	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	20220825063000	https://www.pna.gov.ph/articles/1182149
1060095849	20210825	202108	2021	2021.6438	QAT	QATAR	QAT								PHL	MANILA	PHL								0	046	046	04	1	7.0	1	1	1	2.24358974358974	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	20220825063000	https://www.pna.gov.ph/articles/1182149
1060095850	20210825	202108	2021	2021.6438	USA	UNITED STATES	USA								BUS	BUSINESS						BUS			1	182	182	18	4	-9.5	4	1	4	-6.28415300546448	3	Scott County, Iowa, United States	US	USIA	IA163	41.6334	-90.6335	465270	3	Scott County, Iowa, United States	US	USIA		41.6334	-90.6335	465270	3	Scott County, Iowa, United States	US	USIA		41.6334	-90.6335	465270	20220825063000	https://www.thegazette.com/crime-courts/jerry-burns-found-guilty-of-first-degree-murder-in-the-death-of-michelle-martinko/
1060095851	20220726	202207	2022	2022.5644	ELIJUD	RETIRED						ELI	JUD		JUDJUD	JUDGE						JUD	JUD		1	042	042	04	1	1.9	10	1	10	-3.25203252032521	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20220825063000	https://timesofindia.indiatimes.com/india/pegasus-spyware-not-found-in-29-mobile-phones-examined-panel-to-sc/articleshow/93769955.cms
1060095852	20220726	202207	2022	2022.5644	GOV	PRIME MINISTER						GOV													0	010	010	01	1	0.0	3	1	3	-6.12903225806452	4	Rehovot, HaMerkaz, Israel	IS	IS02	18311	31.8969	34.8186	-781210	0								4	Rehovot, HaMerkaz, Israel	IS	IS02	18311	31.8969	34.8186	-781210	20220825063000	https://www.timesofisrael.com/body-of-young-woman-apparently-stabbed-to-death-found-in-field-near-rehovot/
1060095853	20220726	202207	2022	2022.5644	GOV	PRIME MINISTER						GOV			ISR	ISRAEL	ISR								0	010	010	01	1	0.0	1	1	1	-6.12903225806452	4	Rehovot, HaMerkaz, Israel	IS	IS02	18311	31.8969	34.8186	-781210	4	Rehovot, HaMerkaz, Israel	IS	IS02	18311	31.8969	34.8186	-781210	4	Rehovot, HaMerkaz, Israel	IS	IS02	18311	31.8969	34.8186	-781210	20220825063000	https://www.timesofisrael.com/body-of-young-woman-apparently-stabbed-to-death-found-in-field-near-rehovot/
1060095854	20220726	202207	2022	2022.5644	GUYGOV	GUYANA	GUY					GOV			EDU	SCHOOL						EDU			1	190	190	19	4	-10.0	10	1	10	-2.46913580246914	4	Stabroek, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8094	-58.1615	-922968	4	Stabroek, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8094	-58.1615	-922968	4	Stabroek, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8094	-58.1615	-922968	20220825063000	https://www.stabroeknews.com/2022/08/25/news/guyana/st-georges-high-fire-was-electrical-fire-service-finds/
1060095855	20220726	202207	2022	2022.5644	ISRGOV	ISRAEL	ISR					GOV			ISR	ISRAEL	ISR								0	010	010	01	1	0.0	1	1	1	-6.12903225806452	4	Rehovot, HaMerkaz, Israel	IS	IS02	18311	31.8969	34.8186	-781210	4	Rehovot, HaMerkaz, Israel	IS	IS02	18311	31.8969	34.8186	-781210	4	Rehovot, HaMerkaz, Israel	IS	IS02	18311	31.8969	34.8186	-781210	20220825063000	https://www.timesofisrael.com/body-of-young-woman-apparently-stabbed-to-death-found-in-field-near-rehovot/
1060095856	20220726	202207	2022	2022.5644	JUDJUD	JUDGE						JUD	JUD		ELIJUD	RETIRED						ELI	JUD		1	043	043	04	1	2.8	10	1	10	-3.25203252032521	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20220825063000	https://timesofindia.indiatimes.com/india/pegasus-spyware-not-found-in-29-mobile-phones-examined-panel-to-sc/articleshow/93769955.cms
1060095857	20220726	202207	2022	2022.5644	USA	THE US	USA																		0	100	100	10	3	-5.0	10	1	10	-4.96613995485327	1	Russia	RS	RS		60	100	RS	0								1	Pakistan	PK	PK		30	70	PK	20220825063000	https://dailytimes.com.pk/987313/pakistans-current-account-deficit-dwindles-to-1-2bn-in-july/
1060095858	20220818	202208	2022	2022.6247											REL	SAINT									0	020	020	02	1	3.0	2	1	2	0.43258832011535	0								3	Londonderry, New Hampshire, United States	US	USNH	NH015	42.8651	-71.374	868123	3	Londonderry, New Hampshire, United States	US	USNH	NH015	42.8651	-71.374	868123	20220825063000	https://www.unionleader.com/nh/news/politics/voters/trump-sununu-endorsements-could-make-or-break-nh-federal-races/article_47c93b62-c26f-5f27-9af8-e061c00de8e1.html
1060095859	20220818	202208	2022	2022.6247	CVL	RESIDENTS						CVL													1	010	010	01	1	0.0	10	1	10	-0.78431372549019	4	Lambeth, Lambeth, United Kingdom	UK	UKH1	40110	51.5	-0.116667	-2600625	0								4	Lambeth, Lambeth, United Kingdom	UK	UKH1	40110	51.5	-0.116667	-2600625	20220825063000	https://www.wandsworthguardian.co.uk/news/20741563.dorchester-court-residents-told-run-tap-remove-lead-water/
1060095860	20220818	202208	2022	2022.6247	GOV	PRESIDENT						GOV													0	164	164	16	4	-7.0	10	1	10	-6.41666666666667	1	Mexico	MX	MX		23	-102	MX	0								1	Mexico	MX	MX		23	-102	MX	20220825063000	https://www.billoreilly.com/b/The-Pro-Illegal-Immigration-Movement/25085068849701172.html
1060095861	20220818	202208	2022	2022.6247	GOV	AMBASSADOR						GOV			USA	SAN DIEGO	USA								1	043	043	04	1	2.8	7	1	7	2.90076335877862	3	San Diego, California, United States	US	USCA	CA073	32.7153	-117.157	1661377	3	San Diego, California, United States	US	USCA		32.7153	-117.157	1661377	3	San Diego, California, United States	US	USCA		32.7153	-117.157	1661377	20220825063000	https://economictimes.indiatimes.com/news/defence/navy-cooperation-a-dynamic-significant-component-for-india-us-defence-ties-says-indian-envoy/articleshow/93769367.cms
1060095862	20220818	202208	2022	2022.6247	USA	UNITED STATES	USA								GOV	AMBASSADOR						GOV			1	042	042	04	1	1.9	2	1	2	2.90076335877862	4	East China Sea, Japan (general), Japan	JA	JA00		29	125	-226888	4	South China Sea, Brunei (general), Brunei	BX	BX00		15	115	-1337919	4	East China Sea, Japan (general), Japan	JA	JA00		29	125	-226888	20220825063000	https://economictimes.indiatimes.com/news/defence/navy-cooperation-a-dynamic-significant-component-for-india-us-defence-ties-says-indian-envoy/articleshow/93769367.cms
1060095863	20220818	202208	2022	2022.6247	USA	SAN DIEGO	USA								GOV	AMBASSADOR						GOV			1	042	042	04	1	1.9	5	1	5	2.90076335877862	4	East China Sea, Japan (general), Japan	JA	JA00		29	125	-226888	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	East China Sea, Japan (general), Japan	JA	JA00		29	125	-226888	20220825063000	https://economictimes.indiatimes.com/news/defence/navy-cooperation-a-dynamic-significant-component-for-india-us-defence-ties-says-indian-envoy/articleshow/93769367.cms
1060095864	20220818	202208	2022	2022.6247	USA	UNITED STATES	USA								REL	SAINT									0	020	020	02	1	3.0	4	1	4	0.43258832011535	3	Londonderry, New Hampshire, United States	US	USNH	NH015	42.8651	-71.374	868123	3	Londonderry, New Hampshire, United States	US	USNH	NH015	42.8651	-71.374	868123	3	Londonderry, New Hampshire, United States	US	USNH	NH015	42.8651	-71.374	868123	20220825063000	https://www.unionleader.com/nh/news/politics/voters/trump-sununu-endorsements-could-make-or-break-nh-federal-races/article_47c93b62-c26f-5f27-9af8-e061c00de8e1.html
1060095865	20220818	202208	2022	2022.6247	USA	UNITED STATES	USA								REL	SAINT									0	020	020	02	1	3.0	4	1	4	0.43258832011535	3	Wolfeboro, New Hampshire, United States	US	USNH	NH003	43.584	-71.2073	870969	3	Wolfeboro, New Hampshire, United States	US	USNH	NH003	43.584	-71.2073	870969	3	Wolfeboro, New Hampshire, United States	US	USNH	NH003	43.584	-71.2073	870969	20220825063000	https://www.unionleader.com/nh/news/politics/voters/trump-sununu-endorsements-could-make-or-break-nh-federal-races/article_47c93b62-c26f-5f27-9af8-e061c00de8e1.html
1060095866	20220818	202208	2022	2022.6247	USA	SAN DIEGO	USA								USAGOV	UNITED STATES	USA					GOV			1	042	042	04	1	1.9	1	1	1	2.90076335877862	4	South China Sea, Brunei (general), Brunei	BX	BX00		15	115	-1337919	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20220825063000	https://economictimes.indiatimes.com/news/defence/navy-cooperation-a-dynamic-significant-component-for-india-us-defence-ties-says-indian-envoy/articleshow/93769367.cms
1060095867	20220824	202208	2022	2022.6411											PAKGOV	PAKISTAN	PAK					GOV			1	040	040	04	1	1.0	6	1	6	3.19148936170212	0								1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	20220825063000	https://menafn.com/1104752842/Qatar-Pakistan-Discuss-Boosting-Economic-Defence-Cooperation
1060095868	20220824	202208	2022	2022.6411	HLH	HOSPITAL						HLH			ZWE	ZIMBABWEAN	ZWE								1	010	010	01	1	0.0	6	1	6	-2.27790432801823	1	Zimbabwe	ZI	ZI		-19	29	ZI	1	Zimbabwe	ZI	ZI		-19	29	ZI	1	Zimbabwe	ZI	ZI		-19	29	ZI	20220825063000	https://www.iol.co.za/pretoria-news/news/support-for-limpopo-health-mec-phophi-ramathuba-after-zimbabwe-patient-rant-24d6b526-6b3f-41d4-9903-793294c63fd6
1060095869	20220824	202208	2022	2022.6411	PAK	PAKISTAN	PAK								PAKGOV	PAKISTAN	PAK					GOV			1	040	040	04	1	1.0	4	1	4	3.19148936170212	1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	20220825063000	https://menafn.com/1104752842/Qatar-Pakistan-Discuss-Boosting-Economic-Defence-Cooperation
1060095870	20220824	202208	2022	2022.6411	PAKGOV	PAKISTAN	PAK					GOV													1	040	040	04	1	1.0	6	1	6	3.19148936170212	1	Pakistan	PK	PK		30	70	PK	0								1	Pakistan	PK	PK		30	70	PK	20220825063000	https://menafn.com/1104752842/Qatar-Pakistan-Discuss-Boosting-Economic-Defence-Cooperation
1060095871	20220824	202208	2022	2022.6411	PAKGOV	PAKISTAN	PAK					GOV			PAK	PAKISTAN	PAK								1	040	040	04	1	1.0	4	1	4	3.19148936170212	1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	20220825063000	https://menafn.com/1104752842/Qatar-Pakistan-Discuss-Boosting-Economic-Defence-Cooperation
1060095872	20220824	202208	2022	2022.6411	ZWE	ZIMBABWE	ZWE								HLH	HOSPITAL						HLH			1	010	010	01	1	0.0	4	1	4	-2.27790432801823	1	Zimbabwe	ZI	ZI		-19	29	ZI	1	Zimbabwe	ZI	ZI		-19	29	ZI	1	Zimbabwe	ZI	ZI		-19	29	ZI	20220825063000	https://www.iol.co.za/pretoria-news/news/support-for-limpopo-health-mec-phophi-ramathuba-after-zimbabwe-patient-rant-24d6b526-6b3f-41d4-9903-793294c63fd6
1060095873	20220825	202208	2022	2022.6438											AFG	AFGHAN	AFG								0	173	173	17	4	-5.0	8	1	8	-2.66429840142096	0								4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20220825063000	https://menafn.com/1104752463/Afghanistan-At-Brink-Of-Irreversible-Ruin-Amnesty-International
1060095874	20220825	202208	2022	2022.6438											AFG	AFGHAN	AFG								0	1822	182	18	4	-9.0	8	1	8	-2.66429840142096	0								4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20220825063000	https://menafn.com/1104752463/Afghanistan-At-Brink-Of-Irreversible-Ruin-Amnesty-International
1060095875	20220825	202208	2022	2022.6438											AFG	AFGHAN	AFG								1	190	190	19	4	-10.0	10	1	10	-2.66429840142096	0								4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20220825063000	https://menafn.com/1104752463/Afghanistan-At-Brink-Of-Irreversible-Ruin-Amnesty-International
1060095876	20220825	202208	2022	2022.6438											AFRSEP	AFRICA	AFR					SEP			0	051	051	05	1	3.4	10	1	10	-1.91226096737908	0								1	Sweden	SW	SW		62	15	SW	1	Sweden	SW	SW		62	15	SW	20220825063000	https://menafn.com/1104752640/Sweden-Has-Broken-Its-Neutrality-Convention-And-Sided-With-Ukraine-Does-This-Matter
1060095877	20220825	202208	2022	2022.6438											AUS	MURRAY	AUS								1	013	013	01	1	0.4	9	1	9	2.46406570841889	0								4	Waroona, Western Australia, Australia	AS	AS08	5560	-32.8432	115.922	-1607949	4	Waroona, Western Australia, Australia	AS	AS08	5560	-32.8432	115.922	-1607949	20220825063000	https://www.miragenews.com/alcoa-steps-up-to-support-foodbank-wa-in-new-843056/
1060095878	20220825	202208	2022	2022.6438											AUS	MURRAY	AUS								1	172	172	17	4	-5.0	9	1	9	2.46406570841889	0								4	Kwinana, Western Australia, Australia	AS	AS08	5539	-32.2301	115.781	-1582567	4	Waroona, Western Australia, Australia	AS	AS08	5560	-32.8432	115.922	-1607949	20220825063000	https://www.miragenews.com/alcoa-steps-up-to-support-foodbank-wa-in-new-843056/
1060095879	20220825	202208	2022	2022.6438											AZEBUS	AZERBAIJANI	AZE					BUS			1	057	057	05	1	8.0	6	1	6	2.05245153933866	0								4	Shusha, Susa*, Azerbaijan	AJ	AJ56	535	39.7589	46.7492	-2708730	4	Shusha, Susa*, Azerbaijan	AJ	AJ56	535	39.7589	46.7492	-2708730	20220825063000	https://menafn.com/1104752700/Kazakhstan-Azerbaijan-Ink-Numerous-Partnership-Deals
1060095880	20220825	202208	2022	2022.6438											BUS	BUSINESS						BUS			1	042	042	04	1	1.9	10	1	10	-0.47169811320755	0								3	North Beach, California, United States	US	USCA		37.8058	-122.412	1659245	3	North Beach, California, United States	US	USCA		37.8058	-122.412	1659245	20220825063000	http://outsidelands.org/cgi-bin/mboard/stories2/thread.cgi?1549,0
1060095881	20220825	202208	2022	2022.6438											BUS	BANK						BUS			1	043	043	04	1	2.8	10	1	10	-1.07836089144501	0								1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20220825063000	https://www.devonlive.com/news/devon-news/coastguards-bank-holiday-weekend-safety-7507007
1060095882	20220825	202208	2022	2022.6438											BUS	COMPANY						BUS			1	112	112	11	3	-2.0	5	1	5	-3.98230088495575	0								4	Xiaomi, Fujian, China	CH	CH07	13163	25.2225	116.057	10999868	4	Xiaomi, Fujian, China	CH	CH07	13163	25.2225	116.057	10999868	20220825063000	https://www.theregister.com/2022/08/25/xiaomi_india_tax_allegations/
1060095883	20220825	202208	2022	2022.6438											BUS	COMPANY						BUS			1	112	112	11	3	-2.0	5	1	5	-3.98230088495575	0								1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20220825063000	https://www.theregister.com/2022/08/25/xiaomi_india_tax_allegations/
1060095884	20220825	202208	2022	2022.6438											CHN	CHINA	CHN								1	042	042	04	1	1.9	6	1	6	3.27868852459017	0								4	Shiyuan, Henan, China	CH	CH09	13115	33.4022	113.356	10546969	4	Shiyuan, Henan, China	CH	CH09	13115	33.4022	113.356	10546969	20220825063000	https://www.thebeijinger.com/blog/2022/08/25/art-meets-architecture-exhibition-redesigned-hutong-abode
1060095885	20220825	202208	2022	2022.6438											COP	POLICE						COP			1	040	040	04	1	1.0	6	1	6	-1.94552529182879	0								4	Papatoetoe, New Zealand (general), New Zealand	NZ	NZ00	22389	-36.9667	174.867	-1515836	4	Papatoetoe, New Zealand (general), New Zealand	NZ	NZ00	22389	-36.9667	174.867	-1515836	20220825063000	https://www.unionleader.com/nh/news/back_page/a-family-won-luggage-at-an-auction-two-childrens-bodies-were-inside/article_163d8814-6679-51b3-8052-ed54c7c72018.html
1060095886	20220825	202208	2022	2022.6438											COP	POLICE						COP			1	1124	112	11	3	-2.0	10	1	10	-9.63855421686747	0								0								0								20220825063000	https://www.tribuneindia.com/news/jalandhar/2-nurses-attacked-with-swords-in-jalandhar-hospital-1-dead-425225
1060095887	20220825	202208	2022	2022.6438											COP	PRISON						COP			0	173	173	17	4	-5.0	6	1	6	-9.03954802259885	0								2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	20220825063000	https://www.billoreilly.com/b/Far-Left-Violence-Out-of-Control-in-America/168348415855822792.html
1060095888	20220825	202208	2022	2022.6438											CRM	FELON						CRM			0	173	173	17	4	-5.0	6	1	6	-6.22286541244573	0								2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20220825063000	https://www.palmbeachpost.com/story/news/columns/2022/08/24/desantis-makes-voter-fraud-political-weapon-using-elections-police/7864690001/
1060095889	20220825	202208	2022	2022.6438											CRM	FELON						CRM			0	190	190	19	4	-10.0	6	1	6	-6.22286541244573	0								2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20220825063000	https://www.palmbeachpost.com/story/news/columns/2022/08/24/desantis-makes-voter-fraud-political-weapon-using-elections-police/7864690001/
1060095890	20220825	202208	2022	2022.6438											CYP	CYPRUS	CYP								0	0861	086	08	2	9.0	2	1	2	-1.91226096737908	0								1	Congo	CF	CF		-1	15	CF	1	Congo	CF	CF		-1	15	CF	20220825063000	https://menafn.com/1104752640/Sweden-Has-Broken-Its-Neutrality-Convention-And-Sided-With-Ukraine-Does-This-Matter
1060095891	20220825	202208	2022	2022.6438											CYP	CYPRUS	CYP								0	0861	086	08	2	9.0	3	1	3	-1.91226096737908	0								1	Cyprus	CY	CY		35	33	CY	1	Congo	CF	CF		-1	15	CF	20220825063000	https://menafn.com/1104752640/Sweden-Has-Broken-Its-Neutrality-Convention-And-Sided-With-Ukraine-Does-This-Matter
1060095892	20220825	202208	2022	2022.6438											EDU	SCHOOL						EDU			0	042	042	04	1	1.9	3	1	3	-1.03950103950104	0								2	Colorado, United States	US	USCO		39.0646	-105.327	CO	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	20220825063000	https://www.austinchronicle.com/columns/2022-08-26/qmmunity-homoscopes/
1060095893	20220825	202208	2022	2022.6438											EDU	SCHOOL						EDU			0	042	042	04	1	1.9	2	1	2	-1.32275132275132	0								1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20220825063000	https://mb.com.ph/2022/08/25/here-are-the-makabayan-solons-issues-on-2023-proposed-national-budget/
1060095894	20220825	202208	2022	2022.6438											EDU	SCHOOL						EDU			0	042	042	04	1	1.9	3	1	3	-1.32275132275132	0								1	Philippines	RP	RP		13	122	RP	1	Philippines	RP	RP		13	122	RP	20220825063000	https://mb.com.ph/2022/08/25/here-are-the-makabayan-solons-issues-on-2023-proposed-national-budget/
1060095895	20220825	202208	2022	2022.6438											EDU	SCHOOL						EDU			0	051	051	05	1	3.4	10	1	10	2.24508886810102	0								4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	20220825063000	https://www.timeshighereducation.com/unijobs/listing/306493/postdoctoral-researcher-sociology-social-science-lgbti-studies-or-a-related-health-discipline/
