1060060071	20220818	202208	2022	2022.6247	ISRJUD	JERUSALEM	ISR					JUD													1	110	110	11	3	-2.0	1	1	1	-8.09628008752737	5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	0								5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	20220825003000	https://www.jpost.com/opinion/article-715520
1060060072	20220818	202208	2022	2022.6247	ISRJUD	JERUSALEM	ISR					JUD													1	115	115	11	3	-2.0	1	1	1	-8.09628008752737	5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	0								5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	20220825003000	https://www.jpost.com/opinion/article-715520
1060060073	20220818	202208	2022	2022.6247	ISRJUD	ISRAEL	ISR					JUD			ISR	ISRAEL	ISR								1	110	110	11	3	-2.0	2	1	2	-8.09628008752737	5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	20220825003000	https://www.jpost.com/opinion/article-715520
1060060074	20220818	202208	2022	2022.6247	ISRJUD	ISRAEL	ISR					JUD			ISR	JERUSALEM	ISR								1	115	115	11	3	-2.0	1	1	1	-8.09628008752737	5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	20220825003000	https://www.jpost.com/opinion/article-715520
1060060075	20220818	202208	2022	2022.6247	JUD	ATTORNEY						JUD			ISR	ISRAEL	ISR								1	110	110	11	3	-2.0	2	1	2	-8.09628008752737	5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	20220825003000	https://www.jpost.com/opinion/article-715520
1060060076	20220818	202208	2022	2022.6247	JUD	ATTORNEY						JUD			ISR	ISRAEL	ISR								1	115	115	11	3	-2.0	2	1	2	-8.09628008752737	5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	20220825003000	https://www.jpost.com/opinion/article-715520
1060060077	20220818	202208	2022	2022.6247	JUD	ATTORNEY						JUD			ISRJUD	JERUSALEM	ISR					JUD			1	110	110	11	3	-2.0	1	1	1	-8.09628008752737	5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	20220825003000	https://www.jpost.com/opinion/article-715520
1060060078	20220818	202208	2022	2022.6247	JUD	ATTORNEY						JUD			ISRJUD	JERUSALEM	ISR					JUD			1	115	115	11	3	-2.0	1	1	1	-8.09628008752737	5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	5	Jerusalem District, Yerushalayim, Israel	IS	IS06	18315	31.75	35	-781745	20220825003000	https://www.jpost.com/opinion/article-715520
1060060079	20220818	202208	2022	2022.6247	MMR	MYANMAR	MMR								BGD	BANGLADESH	BGD								1	042	042	04	1	1.9	2	1	2	-6.02409638554217	4	Bhasan Char, Bangladesh (general), Bangladesh	BG	BG00	5792	23.4333	90.55	-2713709	4	Bhasan Char, Bangladesh (general), Bangladesh	BG	BG00	5792	23.4333	90.55	-2713709	4	Bhasan Char, Bangladesh (general), Bangladesh	BG	BG00	5792	23.4333	90.55	-2713709	20220825003000	https://www.arabnews.com/node/2149706/world
1060060080	20220818	202208	2022	2022.6247	MMR	MYANMAR	MMR								BGD	BANGLADESH	BGD								1	042	042	04	1	1.9	3	1	3	-6.02409638554217	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20220825003000	https://www.arabnews.com/node/2149706/world
1060060081	20220818	202208	2022	2022.6247	MMR	MYANMAR	MMR								BGD	BANGLADESH	BGD								1	043	043	04	1	2.8	5	1	5	-6.02409638554217	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20220825003000	https://www.arabnews.com/node/2149706/world
1060060082	20220824	202208	2022	2022.6411	COP	PRISONS DEPARTMENT						COP													0	016	016	01	1	-2.0	10	1	10	-5.01981505944518	4	Sungai Buloh, Malaysia (general), Malaysia	MY	MY00	18585	3.2	101.583	-2403018	0								4	Sungai Buloh, Malaysia (general), Malaysia	MY	MY00	18585	3.2	101.583	-2403018	20220825003000	https://www.thestar.com.my/news/nation/2022/08/25/special-vip-cells-its-a-big-lie-say-officers
1060060083	20220825	202208	2022	2022.6438											AFG	KABUL	AFG								0	042	042	04	1	1.9	2	1	2	-3.35429769392033	0								4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Peshawar, North-West Frontier, Pakistan	PK	PK03	40347	34.0078	71.5733	-2771364	20220825003000	https://www.devdiscourse.com/article/international/2154712-ttp-commanders-on-hiatus-after-killing-of-top-commanders-of-terror-outfit
1060060084	20220825	202208	2022	2022.6438											AFG	KABUL	AFG								0	042	042	04	1	1.9	8	1	8	-3.35429769392033	0								4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20220825003000	https://www.devdiscourse.com/article/international/2154712-ttp-commanders-on-hiatus-after-killing-of-top-commanders-of-terror-outfit
1060060085	20220825	202208	2022	2022.6438											AUS	QUEENSLAND	AUS								0	018	018	01	1	3.4	10	1	10	-6.43939393939394	0								0								0								20220825003000	https://www.smartpropertyinvestment.com.au/finance/24021-tax-exempt-landlords-in-for-a-shock-under-qld-s-new-regime
1060060086	20220825	202208	2022	2022.6438											AUS	QUEENSLAND	AUS								1	042	042	04	1	1.9	30	1	10	-6.43939393939394	0								0								0								20220825003000	https://www.smartpropertyinvestment.com.au/finance/24021-tax-exempt-landlords-in-for-a-shock-under-qld-s-new-regime
1060060087	20220825	202208	2022	2022.6438											AUS	AUSTRALIA	AUS								0	042	042	04	1	1.9	10	1	10	2.42290748898678	0								4	Notting Hill, Victoria, Australia	AS	AS07	5401	-37.9	145.117	-1592355	4	Notting Hill, Victoria, Australia	AS	AS07	5401	-37.9	145.117	-1592355	20220825003000	https://www.afr.com/life-and-luxury/food-and-wine/twenty-years-on-there-is-still-more-to-learn-from-ottolenghi-20220719-p5b2tw
1060060088	20220825	202208	2022	2022.6438											AUS	VICTORIA	AUS								1	042	042	04	1	1.9	10	1	10	-8.27586206896552	0								3	Phoenix, Arizona, United States	US	USAZ	AZ013	33.4484	-112.074	44784	3	Phoenix, Arizona, United States	US	USAZ	AZ013	33.4484	-112.074	44784	20220825003000	https://www.celebdirtylaundry.com/2022/the-young-and-the-restless-spoilers-friday-august-26-billy-confuses-chelsea-nate-steals-the-show-victoria-fights-back/
1060060089	20220825	202208	2022	2022.6438											BGD	BANGLADESH	BGD								1	042	042	04	1	1.9	2	1	2	-6.02409638554217	0								4	Bhasan Char, Bangladesh (general), Bangladesh	BG	BG00	5792	23.4333	90.55	-2713709	4	Bhasan Char, Bangladesh (general), Bangladesh	BG	BG00	5792	23.4333	90.55	-2713709	20220825003000	https://www.arabnews.com/node/2149706/world
1060060090	20220825	202208	2022	2022.6438											BGD	BANGLADESH	BGD								1	042	042	04	1	1.9	3	1	3	-6.02409638554217	0								4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20220825003000	https://www.arabnews.com/node/2149706/world
1060060091	20220825	202208	2022	2022.6438											BUS	CORPORATION						BUS			1	036	036	03	1	4.0	10	1	10	0.840336134453778	0								0								0								20220825003000	https://kdhnews.com/news/local/nolanville-edc-to-discuss-avenue-g-project-new-economic-development-director/article_9fc24600-2403-11ed-b1cb-53e7f986be04.html
1060060092	20220825	202208	2022	2022.6438											BUS	COMPANY						BUS			0	042	042	04	1	1.9	10	1	10	7.16981132075471	0								1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20220825003000	https://www.forbes.com/sites/forbes-personal-shopper/2022/08/24/best-mattress-sales/
1060060093	20220825	202208	2022	2022.6438											BUS	COMPANIES						BUS			1	043	043	04	1	2.8	10	1	10	7.27272727272727	0								3	Tampa, Florida, United States	US	USFL	FL057	27.9475	-82.4584	292005	3	Tampa, Florida, United States	US	USFL	FL057	27.9475	-82.4584	292005	20220825003000	https://floridapolitics.com/archives/551631-forbes-names-tampa-general-a-top-10-employer-in-florida/
1060060094	20220825	202208	2022	2022.6438											BUS	BANK						BUS			1	173	173	17	4	-5.0	10	1	10	-11.8959107806691	0								0								0								20220825003000	https://www.itv.com/news/meridian/2022-08-24/man-admits-forcefully-shaking-son-who-later-died-in-heartbreaking-case
1060060095	20220825	202208	2022	2022.6438											CAN	TORONTO	CAN								1	036	036	03	1	4.0	10	1	10	-5.20833333333333	0								4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20220825003000	https://www.cornwallseawaynews.com/ontario-news/argos-defensive-lineman-davis-wont-suit-up-versus-ticats/
1060060096	20220825	202208	2022	2022.6438											CAN	CANADA	CAN								0	040	040	04	1	1.0	4	1	4	1.30718954248366	0								4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	20220825003000	https://indiancountrytoday.com/news/the-wrap-our-community-cant-wait-anymore
1060060097	20220825	202208	2022	2022.6438											CAN	CANADA	CAN								1	042	042	04	1	1.9	14	2	14	-0.733407779078065	0								4	Fraser River, Newfoundland, Canada	CA	CA05	154724	56.65	-63.1333	-564951	4	Fraser River, Newfoundland, Canada	CA	CA05	154724	56.65	-63.1333	-564951	20220825003000	https://www.thereminder.ca/national-news/concern-for-bc-sockeye-salmon-as-fraser-river-return-estimates-drop-by-millions-5736662
1060060098	20220825	202208	2022	2022.6438											CAN	SASKATCHEWAN	CAN								1	042	042	04	1	1.9	20	1	10	0	0								4	Winnipeg, Manitoba, Canada	CA	CA03	12577	49.8833	-97.1667	-576096	4	Winnipeg, Manitoba, Canada	CA	CA03	12577	49.8833	-97.1667	-576096	20220825003000	https://www.thereminder.ca/provincial-news/roughriders-post-39-million-profit-from-cfls-return-to-play-last-season-5735739
1060060099	20220825	202208	2022	2022.6438											CAN	CANADA	CAN								0	043	043	04	1	2.8	1	1	1	-0.682261208577	0								4	Columbia River, Canada (general), Canada	CA	CA00	31654	46.25	-124	-562880	4	Fraser River, Newfoundland, Canada	CA	CA05	154724	56.65	-63.1333	-564951	20220825003000	https://www.thereminder.ca/national-news/concern-for-bc-sockeye-salmon-as-fraser-river-return-estimates-drop-by-millions-5736662
1060060100	20220825	202208	2022	2022.6438											CAN	CANADA	CAN								0	043	043	04	1	2.8	1	1	1	-0.57603686635945	0								4	Columbia River, Canada (general), Canada	CA	CA00	31654	46.25	-124	-562880	1	Russia	RS	RS		60	100	RS	20220825003000	https://panow.com/2022/08/24/concern-for-b-c-sockeye-salmon-as-fraser-river-return-estimates-drop-by-millions/
1060060101	20220825	202208	2022	2022.6438											CAN	CANADA	CAN								0	043	043	04	1	2.8	1	1	1	-0.682261208577	0								4	Fraser River, Newfoundland, Canada	CA	CA05	154724	56.65	-63.1333	-564951	4	Fraser River, Newfoundland, Canada	CA	CA05	154724	56.65	-63.1333	-564951	20220825003000	https://www.thereminder.ca/national-news/concern-for-bc-sockeye-salmon-as-fraser-river-return-estimates-drop-by-millions-5736662
1060060102	20220825	202208	2022	2022.6438											CAN	CANADA	CAN								0	043	043	04	1	2.8	1	1	1	-0.57603686635945	0								1	Russia	RS	RS		60	100	RS	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20220825003000	https://panow.com/2022/08/24/concern-for-b-c-sockeye-salmon-as-fraser-river-return-estimates-drop-by-millions/
1060060103	20220825	202208	2022	2022.6438											CAN	CANADA	CAN								0	046	046	04	1	7.0	4	1	4	1.30718954248366	0								4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	20220825003000	https://indiancountrytoday.com/news/the-wrap-our-community-cant-wait-anymore
1060060104	20220825	202208	2022	2022.6438											CHN	BEIJING	CHN								0	080	080	08	2	5.0	1	1	1	0.37359900373599	0								4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20220825003000	https://www.voanews.com/a/official-us-seeks-constructive-communication-with-china-amid-rising-tensions-/6715367.html
1060060105	20220825	202208	2022	2022.6438											CHN	BEIJING	CHN								0	080	080	08	2	5.0	1	1	1	0.37359900373599	0								1	Taiwan	TW	TW		24	121	TW	1	Taiwan	TW	TW		24	121	TW	20220825003000	https://www.voanews.com/a/official-us-seeks-constructive-communication-with-china-amid-rising-tensions-/6715367.html
1060060106	20220825	202208	2022	2022.6438											COP	DETECTIVE						COP			0	030	030	03	1	4.0	2	1	2	-6.37583892617449	0								3	Fredericksburg, Texas, United States	US	USTX	TX171	30.2752	-98.872	1336174	3	Fredericksburg, Texas, United States	US	USTX	TX171	30.2752	-98.872	1336174	20220825003000	https://fredericksburg.com/news/local/crime-and-courts/former-teacher-sentenced-to-two-years-for-exchanging-sexual-messages-with-teen/article_8b1ab3e2-da5b-5324-a735-56ef1e65c130.html
1060060107	20220825	202208	2022	2022.6438											COP	POLICE OFFICER						COP			1	042	042	04	1	1.9	1	1	1	-10	0								3	Lincoln County, Oregon, United States	US	USOR		44.6665	-123.835	1135856	3	Lincoln County, Oregon, United States	US	USOR		44.6665	-123.835	1135856	20220825003000	https://www.thenewsguard.com/news/dine-and-dash-police-make-arrest-find-stolen-vehicle/article_5f2d7a76-23f7-11ed-9d52-dfca681d7a7e.html
1060060108	20220825	202208	2022	2022.6438											COP	POLICE OFFICER						COP			1	042	042	04	1	1.9	1	1	1	-10	0								3	Lincoln City, Oregon, United States	US	USOR		44.9582	-124.018	1158323	3	Lincoln City, Oregon, United States	US	USOR		44.9582	-124.018	1158323	20220825003000	https://www.thenewsguard.com/news/dine-and-dash-police-make-arrest-find-stolen-vehicle/article_5f2d7a76-23f7-11ed-9d52-dfca681d7a7e.html
1060060109	20220825	202208	2022	2022.6438											COP	POLICE OFFICER						COP			0	043	043	04	1	2.8	6	1	6	-7.66208251473477	0								3	Umatilla County, Oregon, United States	US	USOR		45.5001	-118.501	1156673	3	Umatilla County, Oregon, United States	US	USOR		45.5001	-118.501	1156673	20220825003000	https://www.lagrandeobserver.com/news/local/northeast-oregon-man-arrested-for-sex-crimes-in-wallowa-county/article_87fe8726-2337-11ed-8831-23251c90ac1c.html
1060060110	20220825	202208	2022	2022.6438											COP	POLICE						COP			1	046	046	04	1	7.0	2	1	2	-3.16455696202532	0								3	Sioux Falls, South Dakota, United States	US	USSD		43.55	-96.7003	1267670	3	Sioux Falls, South Dakota, United States	US	USSD		43.55	-96.7003	1267670	20220825003000	https://www.argusleader.com/story/news/crime/2022/08/24/crystal-brady-named-new-police-chief-vermillion-south-dakota/7887892001/
1060060111	20220825	202208	2022	2022.6438											COP	DETECTIVE						COP			1	190	190	19	4	-10.0	2	1	2	-3.94736842105263	0								2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	2	Tennessee, United States	US	USTN		35.7449	-86.7489	TN	20220825003000	https://www.heraldbulletin.com/news/nation_world/2-officers-killed-in-helicopter-crash-in-tennessee/article_1400d0df-7903-5a79-8fa6-c5adb947a532.html
1060060112	20220825	202208	2022	2022.6438											CRM	SEX WORKER						CRM			0	130	130	13	3	-4.4	10	1	10	-2.13903743315508	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20220825003000	https://www.lamag.com/citythinkblog/monkeypox-has-l-a-sex-workers-fighting-the-virus-and-the-stigma/
1060060113	20220825	202208	2022	2022.6438											CVL	RESIDENTS						CVL			1	013	013	01	1	0.4	7	1	6	0.63291139240507	0								3	Chattanooga, Tennessee, United States	US	USTN	TN065	35.0456	-85.3097	1307240	3	Chattanooga, Tennessee, United States	US	USTN	TN065	35.0456	-85.3097	1307240	20220825003000	https://www.local3news.com/local-news/climate-change-program-now-in-chattanooga-area-communities/article_2f6a48a8-23ef-11ed-9cc8-fb4381d0576f.html
1060060114	20220825	202208	2022	2022.6438											CVL	COMMUNITY						CVL			1	014	014	01	1	0.0	5	1	5	-5	0								4	Fort Smith, Northwest Territories, Canada	CA	CA13	190734	60	-111.883	-564837	4	Fort Smith, Northwest Territories, Canada	CA	CA13	190734	60	-111.883	-564837	20220825003000	https://panow.com/2022/08/24/n-w-t-s-2022-wildfire-season-has-nearly-doubled-five-year-average-for-area-burned/
1060060115	20220825	202208	2022	2022.6438											CVL	COMMUNITY						CVL			1	036	036	03	1	4.0	10	1	10	0	0								4	Winnipeg, Manitoba, Canada	CA	CA03	12577	49.8833	-97.1667	-576096	4	Winnipeg, Manitoba, Canada	CA	CA03	12577	49.8833	-97.1667	-576096	20220825003000	https://www.thereminder.ca/provincial-news/roughriders-post-39-million-profit-from-cfls-return-to-play-last-season-5735739
1060060116	20220825	202208	2022	2022.6438											CVL	RESIDENTS						CVL			0	036	036	03	1	4.0	2	1	2	-1.36363636363637	0								3	Wallowa, Oregon, United States	US	USOR	OR063	45.5701	-117.528	1151858	3	Wallowa, Oregon, United States	US	USOR	OR063	45.5701	-117.528	1151858	20220825003000	https://www.lagrandeobserver.com/news/local/wallowa-to-receive-2-million-in-aid/article_9be157b7-5295-509f-9657-296319027658.html
1060060117	20220825	202208	2022	2022.6438											CVL	TOURIST						CVL			1	036	036	03	1	4.0	2	1	2	-1.88323917137476	0								3	Faneuil Hall, Massachusetts, United States	US	USMA		42.3593	-71.0564	619495	3	Faneuil Hall, Massachusetts, United States	US	USMA		42.3593	-71.0564	619495	20220825003000	https://www.caledonianrecord.com/news/national/boston-extends-service-cuts-for-subway-bus-into-the-fall/article_f68d398e-8c7a-5415-9d23-e1accef482a7.html
1060060118	20220825	202208	2022	2022.6438											CVL	COMMUNITY						CVL			1	040	040	04	1	1.0	10	1	10	-2.24358974358975	0								0								0								20220825003000	https://calgary.ctvnews.ca/lethbridge-alta-mayor-shares-climate-change-denial-post-1.6041166
1060060119	20220825	202208	2022	2022.6438											CVL	COMMUNITY						CVL			1	043	043	04	1	2.8	10	1	10	-0.13888888888889	0								4	Fort Mcpherson, Northwest Territories, Canada	CA	CA13	25042	67.4333	-134.867	-564819	4	Fort Mcpherson, Northwest Territories, Canada	CA	CA13	25042	67.4333	-134.867	-564819	20220825003000	https://theturtleislandnews.com/index.php/2022/08/24/gwichin-tribal-council-spends-forgiven-federal-debt-funding/
1060060120	20220825	202208	2022	2022.6438											CVL	HIKER						CVL			0	046	046	04	1	7.0	2	1	2	-2.91750503018108	0								3	Continental Divide, New Mexico, United States	US	USNM		35.425	-108.315	1923007	3	Continental Divide, New Mexico, United States	US	USNM		35.425	-108.315	1923007	20220825003000	https://www.summitdaily.com/news/rerouting-only-paved-portion-of-continental-divide-trail-in-colorado-is-continued-challenge/
1060060121	20220825	202208	2022	2022.6438											CVL	CIVILIAN						CVL			1	060	060	06	2	6.0	10	1	10	6.79156908665106	0								3	San Antonio, Texas, United States	US	USTX		29.4241	-98.4936	1380951	3	San Antonio, Texas, United States	US	USTX		29.4241	-98.4936	1380951	20220825003000	https://oanow.com/news/local/govt-and-politics/opelika-beats-cities-in-17-southern-states-for-a-top-economic-development-award/article_7c5ceb08-23da-11ed-a813-0723747150cf.html
1060060122	20220825	202208	2022	2022.6438											DEU	BERLIN	DEU								1	043	043	04	1	2.8	2	1	2	-3.82882882882883	0								4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20220825003000	https://www.clevelandjewishnews.com/jta/berlin-police-are-investigating-whether-charges-can-be-filed-against-abbas-for-israel-holocausts-comment/article_27fd4fd9-cc3d-51b6-964d-a77055123c3a.html
1060060123	20220825	202208	2022	2022.6438											EDU	SCHOOL						EDU			1	013	013	01	1	0.4	10	1	10	5.33980582524272	0								4	Yarraville, Victoria, Australia	AS	AS07	5396	-37.8167	144.9	-1611723	4	Yarraville, Victoria, Australia	AS	AS07	5396	-37.8167	144.9	-1611723	20220825003000	https://www.physiobob.com/physiotherapy-jobs/australia/victoria-melbourne/yarraville-physiotherapist-paediatric-neuro-in-melbourne-44451
1060060124	20220825	202208	2022	2022.6438											EDU	SCHOOL						EDU			0	025	025	02	1	-0.3	5	1	5	4.12698412698413	0								2	Idaho, United States	US	USID		44.2394	-114.51	ID	2	Idaho, United States	US	USID		44.2394	-114.51	ID	20220825003000	https://www.universityofcalifornia.edu/news/campus-community-gathers-cheer-magnificent-new-students
1060060125	20220825	202208	2022	2022.6438											EDU	SCHOOL						EDU			0	030	030	03	1	4.0	5	1	5	1.02739726027397	0								4	Belgrade, Serbia (general),	RB	RB00	47629	44.8186	20.4681	-74897	4	Belgrade, Serbia (general),	RB	RB00	47629	44.8186	20.4681	-74897	20220825003000	https://coventryobserver.co.uk/news/keep-up-to-date-with-next-months-timetable-changes-coventry-bus-services/
1060060126	20220825	202208	2022	2022.6438											EDU	PUPIL						EDU			1	036	036	03	1	4.0	20	2	20	-1.32625994694961	0								4	Northern Ireland, Craigavon, United Kingdom	UK	UKR8	40152	54.5	-6.5	-2604275	4	Northern Ireland, Craigavon, United Kingdom	UK	UKR8	40152	54.5	-6.5	-2604275	20220825003000	https://www.hulldailymail.co.uk/news/uk-world-news/labour-argue-tories-failing-children-7506845
