1060108491	20220726	202207	2022	2022.5644	ISR	ISRAELI	ISR								PSE	WEST BANK	PSE								1	173	173	17	4	-5.0	4	1	4	-8.55614973262032	1	Israel	IS	IS		31.5	34.75	IS	4	Jenin, West Bank (general), West Bank	WE	WE00	18314	32.4594	35.3009	-794674	1	Israel	IS	IS		31.5	34.75	IS	20220825083000	https://www.i24news.tv/en/news/israel/defense/1661406693-west-bank-israeli-soldier-lightly-wounded-in-firefight-near-jenin
1060108492	20220726	202207	2022	2022.5644	SWE	STOCKHOLM	SWE								COP	PRISON						COP			0	173	173	17	4	-5.0	8	1	8	-4.74747474747474	1	Iran	IR	IR		32	53	IR	1	Iran	IR	IR		32	53	IR	1	Iran	IR	IR		32	53	IR	20220825083000	https://www.spectator.co.uk/article/salman-rushdie-and-a-question-of-power
1060108493	20220818	202208	2022	2022.6247											IRL	IRELAND	IRL								1	043	043	04	1	2.8	2	1	2	-1.07991360691145	0								4	Lorrha, North Tipperary, Ireland	EI	EI38	18305	53.0906	-8.12111	-1504313	4	Lorrha, North Tipperary, Ireland	EI	EI38	18305	53.0906	-8.12111	-1504313	20220825083000	https://www.offalyexpress.ie/news/midland-tribune/894502/ghost-sighting-near-offaly-gets-international-attention.html
1060108494	20220818	202208	2022	2022.6247	IRL	IRELAND	IRL																		1	042	042	04	1	1.9	2	1	2	-1.07991360691145	4	Lorrha, North Tipperary, Ireland	EI	EI38	18305	53.0906	-8.12111	-1504313	0								4	Lorrha, North Tipperary, Ireland	EI	EI38	18305	53.0906	-8.12111	-1504313	20220825083000	https://www.offalyexpress.ie/news/midland-tribune/894502/ghost-sighting-near-offaly-gets-international-attention.html
1060108495	20220818	202208	2022	2022.6247	ISR	ISRAELI	ISR								ISRCOP	ISRAEL	ISR					COP			1	190	190	19	4	-10.0	4	1	4	-2.22588623248145	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20220825083000	https://www.jwire.com.au/the-downfall-of-israeli-intel-in-washington/
1060108496	20220818	202208	2022	2022.6247	ISRCOP	ISRAELI	ISR					COP													1	190	190	19	4	-10.0	6	1	6	-2.22588623248145	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	0								4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20220825083000	https://www.jwire.com.au/the-downfall-of-israeli-intel-in-washington/
1060108497	20220818	202208	2022	2022.6247	uig	UYGHUR			uig																1	010	010	01	1	0.0	10	1	10	-10	4	Xinjiang, Jiangxi, China	CH	CH03	13167	27.7481	116.274	11065838	0								4	Xinjiang, Jiangxi, China	CH	CH03	13167	27.7481	116.274	11065838	20220825083000	https://www.voanews.com/a/us-china-works-to-manipulate-xinjiang-discourse/6715883.html
1060108498	20220824	202208	2022	2022.6411	JUD	LAWYER						JUD			COP	PRISON						COP			1	026	026	02	1	4.0	10	1	10	-3.33333333333333	0								0								0								20220825083000	https://www.malaysiakini.com/news/633371
1060108499	20220825	202208	2022	2022.6438											BUS	COMPANY						BUS			0	040	040	04	1	1.0	10	1	10	8.08314087759815	0								3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20220825083000	https://menafn.com/1104753302/Precision-Computer-Methods-Inc-Offers-Consulting-Service-To-Sage-300-ERP-Users
1060108500	20220825	202208	2022	2022.6438											BUS	BANK						BUS			1	046	046	04	1	7.0	5	1	5	5.1792828685259	0								1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20220825083000	https://www.adgully.com/deepak-kumar-lalla-takes-over-as-md-and-ceo-at-sbicap-securities-121827.html
1060108501	20220825	202208	2022	2022.6438											BUS	COMPANIES						BUS			1	100	100	10	3	-5.0	10	1	10	2.85035629453682	0								4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	20220825083000	https://www.businesstoday.in/real-estate/story/warehousing-absorption-to-touch-record-high-in-2022-jll-345551-2022-08-25
1060108502	20220825	202208	2022	2022.6438											COD	DEMOCRATIC REPUBLIC OF CONGO	COD								0	040	040	04	1	1.0	5	1	5	-7.93478260869569	0								1	Congo	CF	CF		-1	15	CF	1	Congo	CF	CF		-1	15	CF	20220825083000	https://menafn.com/1104753447/Women-Refugees-Fleeing-Violence-Seek-Safety-In-South-Africa-But-They-Dont-Find-It
1060108503	20220825	202208	2022	2022.6438											COP	POLICE						COP			0	040	040	04	1	1.0	2	1	2	-5.73286052009456	0								4	Ukhia, Chittagong, Bangladesh	BG	BG84	5772	21.2445	92.1396	-2737007	4	Balukhali, Chittagong, Bangladesh	BG	BG84	5772	21.1345	92.1833	10816589	20220825083000	https://www.rfa.org/english/news/myanmar/bandladesh-rohingya-08252022035957.html
1060108504	20220825	202208	2022	2022.6438											COP	POLICE						COP			0	040	040	04	1	1.0	8	1	8	-5.73286052009456	0								4	Balukhali, Chittagong, Bangladesh	BG	BG84	5772	21.1345	92.1833	10816589	4	Balukhali, Chittagong, Bangladesh	BG	BG84	5772	21.1345	92.1833	10816589	20220825083000	https://www.rfa.org/english/news/myanmar/bandladesh-rohingya-08252022035957.html
1060108505	20220825	202208	2022	2022.6438											COP	PRISON						COP			0	190	190	19	4	-10.0	10	1	10	-0.85795996186844	0								1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20220825083000	https://www.tomsguide.com/news/she-hulk-episode-2-ending-and-easter-eggs-where-it-fits-in-mcu-timeline
1060108506	20220825	202208	2022	2022.6438											CRM	ILLEGAL IMMIGRANT						CRM			0	042	042	04	1	1.9	10	1	10	-5.98705501618123	0								4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20220825083000	http://twocircles.net/2022aug25/446704.html
1060108507	20220825	202208	2022	2022.6438											CRM	CONVICTS						CRM			0	051	051	05	1	3.4	10	1	10	-3.30578512396694	0								4	Godhra, Gujarat, India	IN	IN09	70121	20.9167	70.9167	-2096429	4	Godhra, Gujarat, India	IN	IN09	70121	20.9167	70.9167	-2096429	20220825083000	https://www.ndtv.com/india-news/bilkis-bano-gang-rape-case-supreme-court-notice-to-gujarat-government-on-plea-challenging-release-of-11-convicts-3284794
1060108508	20220825	202208	2022	2022.6438											CUB	CUBA	CUB								0	040	040	04	1	1.0	2	1	2	3.42717258261934	0								4	Canasta, Santiago de Cuba, Cuba	CU	CU15	14787	20.4333	-76.0333	-1624701	4	Canasta, Santiago de Cuba, Cuba	CU	CU15	14787	20.4333	-76.0333	-1624701	20220825083000	https://www.newjerseyhills.com/observer-tribune/news/whats-happening-at-the-mendham-library/article_ce4cd379-7a44-599a-8c86-ed0c1fc20b99.html
1060108509	20220825	202208	2022	2022.6438											CUB	CUBAN	CUB								0	051	051	05	1	3.4	10	1	10	3.42717258261934	0								1	Egypt	EG	EG		27	30	EG	1	Egypt	EG	EG		27	30	EG	20220825083000	https://www.newjerseyhills.com/observer-tribune/news/whats-happening-at-the-mendham-library/article_ce4cd379-7a44-599a-8c86-ed0c1fc20b99.html
1060108510	20220825	202208	2022	2022.6438											CVL	RESIDENTS						CVL			1	043	043	04	1	2.8	10	1	10	11.8811881188119	0								1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20220825083000	https://wyndham.starweekly.com.au/news/bingo-move-announced-as-award-finalist/
1060108511	20220825	202208	2022	2022.6438											CVL	COMMUNITY						CVL			0	063	063	06	2	7.4	5	1	5	-5.98705501618123	0								4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20220825083000	http://twocircles.net/2022aug25/446704.html
1060108512	20220825	202208	2022	2022.6438											CVL	COMMUNITY						CVL			0	190	190	19	4	-10.0	6	1	3	0.19157088122605	0								3	Fort Peck Indian Reservation, Montana, United States	US	USMT		48.3617	-105.538	805884	3	Fort Peck Indian Reservation, Montana, United States	US	USMT		48.3617	-105.538	805884	20220825083000	https://www.ksut.org/2022-08-24/one-native-veterans-new-mission-fill-in-the-gaps-of-va-care-on-his-reservation
1060108513	20220825	202208	2022	2022.6438											CVLEDU	COMMUNITY						CVL	EDU		0	043	043	04	1	2.8	4	1	4	0.81833060556465	0								3	Eastern Washington University, Washington, United States	US	USWA		47.4899	-117.583	1510700	3	Eastern Washington University, Washington, United States	US	USWA		47.4899	-117.583	1510700	20220825083000	https://www.yakimaherald.com/ap/state/a-half-million-wa-residents-could-benefit-from-bidens-student-loan-relief/article_3e96f518-4db8-5ff6-b44a-c90c644f4885.html
1060108514	20220825	202208	2022	2022.6438											CVLEDU	COMMUNITY						CVL	EDU		0	043	043	04	1	2.8	6	1	6	0.81833060556465	0								3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20220825083000	https://www.yakimaherald.com/ap/state/a-half-million-wa-residents-could-benefit-from-bidens-student-loan-relief/article_3e96f518-4db8-5ff6-b44a-c90c644f4885.html
1060108515	20220825	202208	2022	2022.6438											DZA	ALGERIA	DZA								0	043	043	04	1	2.8	1	1	1	2.07612456747405	0								1	Algeria	AG	AG		28	3	AG	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20220825083000	https://www.i24news.tv/en/news/middle-east/north-africa/1661402381-france-s-macron-looks-to-future-on-algerian-trip
1060108516	20220825	202208	2022	2022.6438											EDU	STUDENT						EDU			1	020	020	02	1	3.0	10	1	10	6.91358024691358	0								1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20220825083000	https://www.adgully.com/india-invites-the-world-to-study-in-india-socheers-helps-bolster-the-voice-121836.html
1060108517	20220825	202208	2022	2022.6438											EDU	STUDENT						EDU			0	036	036	03	1	4.0	2	1	2	1.39186295503212	0								5	Cumbria, Cumbria, United Kingdom	UK	UKC9	40102	54.5833	-2.83333	-2593896	5	Cumbria, Cumbria, United Kingdom	UK	UKC9	40102	54.5833	-2.83333	-2593896	20220825083000	https://www.in-cumbria.com/news/20278993.new-medical-school-carlisle-aims-fill-cumbrias-gp-gap/
1060108518	20220825	202208	2022	2022.6438											EDU	UNIVERSITY						EDU			1	040	040	04	1	1.0	10	1	10	-0.90293453724605	0								4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	20220825083000	https://www.iol.co.za/pretoria-news/news/students-at-tuks-protest-against-increase-in-registration-fees-for-2023-2024-8c8702df-2855-44b8-8612-4196f77f015a
1060108519	20220825	202208	2022	2022.6438											EDU	SCHOOL						EDU			1	043	043	04	1	2.8	10	1	10	6.63129973474801	0								3	West Essex High School, New Jersey, United States	US	USNJ		40.8745	-74.269	2056797	3	West Essex High School, New Jersey, United States	US	USNJ		40.8745	-74.269	2056797	20220825083000	https://www.newjerseyhills.com/the_progress/news/fairfield-school-board-candidate-has-a-passion-for-education/article_64cdd10a-982a-5aeb-b4e0-fd32ebb2b4dd.html
1060108520	20220825	202208	2022	2022.6438											EDU	STUDENT						EDU			1	051	051	05	1	3.4	5	1	5	6.91358024691358	0								1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20220825083000	https://www.adgully.com/india-invites-the-world-to-study-in-india-socheers-helps-bolster-the-voice-121836.html
1060108521	20220825	202208	2022	2022.6438											FRA	FRANCE	FRA								1	013	013	01	1	0.4	3	1	3	4.94699646643109	0								4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20220825083000	https://www.thecable.ng/ibrahim-masari-wike-will-work-for-apc-hes-in-talks-with-tinubu
1060108522	20220825	202208	2022	2022.6438											FRAGOV	FRENCH	FRA					GOV			0	040	040	04	1	1.0	6	1	6	-2.28855721393035	0								1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20220825083000	https://www.jpost.com/international/article-715561
1060108523	20220825	202208	2022	2022.6438											GBR	UNITED KINGDOM	GBR								1	040	040	04	1	1.0	3	1	3	-1.61662817551963	0								1	Ireland	EI	EI		53	-8	EI	1	Ireland	EI	EI		53	-8	EI	20220825083000	https://www.thejournal.ie/ireland-dependent-uk-gas-supply-2026-5848908-Aug2022/
1060108524	20220825	202208	2022	2022.6438											GBR	UNITED KINGDOM	GBR								1	042	042	04	1	1.9	12	1	8	2.17391304347826	0								4	Middlesbrough, Redcar and Cleveland, United Kingdom	UK	UKK9	40100	54.5728	-1.16278	-2603029	4	Middlesbrough, Redcar and Cleveland, United Kingdom	UK	UKK9	40100	54.5728	-1.16278	-2603029	20220825083000	https://www.darlingtonandstocktontimes.co.uk/news/20754309.ukrainian-family-celebrates-birth-child-middlesbrough-fleeing-war/
1060108525	20220825	202208	2022	2022.6438											GOV	CHIEF MINISTER						GOV			1	012	012	01	1	-0.4	4	1	4	-1.91204588910134	0								4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20220825083000	https://www.indiatoday.in/india/story/arvind-kejriwal-meeting-aap-mlas-poaching-charges-against-bjp-manish-sisodia-1992312-2022-08-25
1060108526	20220825	202208	2022	2022.6438											GOV	PRESIDENT						GOV			0	020	020	02	1	3.0	2	1	2	-1.73646578140961	0								4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	20220825083000	https://www.iol.co.za/news/south-africa/first-do-no-harm-sa-medical-association-reminds-dr-ramathuba-of-healthcare-professionals-oath-a13b6c37-8588-4ba9-b88e-15b5cf635e1b
1060108527	20220825	202208	2022	2022.6438											GOV	PRESIDENT						GOV			1	036	036	03	1	4.0	3	1	3	-2.28855721393035	0								4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20220825083000	https://www.jpost.com/international/article-715561
1060108528	20220825	202208	2022	2022.6438											GOV	MAYOR						GOV			0	040	040	04	1	1.0	4	1	4	-6.66144200626959	0								3	Muscogee County, Georgia, United States	US	USGA		32.5007	-84.8666	357428	3	Muscogee County, Georgia, United States	US	USGA		32.5007	-84.8666	357428	20220825083000	https://www.corrections1.com/jail-management/articles/ga-police-chief-and-sheriff-sparred-over-jail-operations-before-near-fight-in-july-emails-show-F3nKJH8XJ1r8Zt0N/
1060108529	20220825	202208	2022	2022.6438											GOV	MAYOR						GOV			0	040	040	04	1	1.0	6	1	6	-6.66144200626959	0								2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20220825083000	https://www.corrections1.com/jail-management/articles/ga-police-chief-and-sheriff-sparred-over-jail-operations-before-near-fight-in-july-emails-show-F3nKJH8XJ1r8Zt0N/
1060108530	20220825	202208	2022	2022.6438											GOV	CABINET						GOV			1	043	043	04	1	2.8	10	1	10	-3.44827586206897	0								4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	20220825083000	https://abcnews.go.com/International/wireStory/thai-pm-suspended-court-mulls-defied-term-limits-88832830
1060108531	20220825	202208	2022	2022.6438											GOV	AUTHORITIES						GOV			1	046	046	04	1	7.0	2	1	2	-5.78313253012049	0								4	Yangon, Yangon, Myanmar	BM	BM17	41840	16.8053	96.1561	-440623	4	Yangon, Yangon, Myanmar	BM	BM17	41840	16.8053	96.1561	-440623	20220825083000	https://www.digitaljournal.com/world/former-uk-ambassador-to-myanmar-detained-in-yangon-source/article
1060108532	20220825	202208	2022	2022.6438											GOV	CHIEF MINISTER						GOV			1	110	110	11	3	-2.0	4	1	4	-1.91204588910134	0								4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20220825083000	https://www.indiatoday.in/india/story/arvind-kejriwal-meeting-aap-mlas-poaching-charges-against-bjp-manish-sisodia-1992312-2022-08-25
1060108533	20220825	202208	2022	2022.6438											GOVMIL	DEFENSE MINIST						GOV	MIL		0	036	036	03	1	4.0	6	1	6	-2.28855721393035	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	1	France	FR	FR		46	2	FR	20220825083000	https://www.jpost.com/international/article-715561
1060108534	20220825	202208	2022	2022.6438											HLH	HOSPITAL						HLH			0	042	042	04	1	1.9	8	1	8	-0.76238881829733	0								4	Hanoi, Ha N?i, Vietnam, Republic Of	VM	VM44	74067	21.0333	105.85	-3714993	4	Hanoi, Ha N?i, Vietnam, Republic Of	VM	VM44	74067	21.0333	105.85	-3714993	20220825083000	http://dtinews.vn/en/news/017002/80437/poor-van-kieu-family-need-financial-help-to-save-son.html
1060108535	20220825	202208	2022	2022.6438											HLH	HOSPITAL						HLH			0	042	042	04	1	1.9	2	1	2	-0.76238881829733	0								4	Thanh Cong, Tinh Vinh Phuc, Vietnam, Republic Of	VM	VM86	74235	21.4909	105.392	11367937	4	Thanh Cong, Tinh Vinh Phuc, Vietnam, Republic Of	VM	VM86	74235	21.4909	105.392	11367937	20220825083000	http://dtinews.vn/en/news/017002/80437/poor-van-kieu-family-need-financial-help-to-save-son.html
1060108536	20220825	202208	2022	2022.6438											HLH	HOSPITAL						HLH			1	042	042	04	1	1.9	3	1	3	0.19157088122605	0								3	Fort Peck Indian Reservation, Montana, United States	US	USMT		48.3617	-105.538	805884	3	Fort Peck Indian Reservation, Montana, United States	US	USMT		48.3617	-105.538	805884	20220825083000	https://www.ksut.org/2022-08-24/one-native-veterans-new-mission-fill-in-the-gaps-of-va-care-on-his-reservation
1060108537	20220825	202208	2022	2022.6438											INDGOV	DELHI	IND					GOV			1	012	012	01	1	-0.4	2	1	2	-1.91204588910134	0								4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20220825083000	https://www.indiatoday.in/india/story/arvind-kejriwal-meeting-aap-mlas-poaching-charges-against-bjp-manish-sisodia-1992312-2022-08-25
1060108538	20220825	202208	2022	2022.6438											INDGOV	DELHI	IND					GOV			1	110	110	11	3	-2.0	2	1	2	-1.91204588910134	0								4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20220825083000	https://www.indiatoday.in/india/story/arvind-kejriwal-meeting-aap-mlas-poaching-charges-against-bjp-manish-sisodia-1992312-2022-08-25
1060108539	20220825	202208	2022	2022.6438											IRL	IRELAND	IRL								1	043	043	04	1	2.8	12	1	10	5.56962025316455	0								4	Donegal, Donegal, Ireland	EI	EI06	18287	54.65	-8.11667	-1502376	4	Donegal, Donegal, Ireland	EI	EI06	18287	54.65	-8.11667	-1502376	20220825083000	https://www.her.ie/celeb/vicky-phelan-bucket-list-moment-family-road-trip-562800
1060108540	20220825	202208	2022	2022.6438											IRL	IRELAND	IRL								1	043	043	04	1	2.8	8	1	8	5.56962025316455	0								4	Mullaghmore Head, Sligo, Ireland	EI	EI25	18304	54.45	-8.46667	153473	4	Carlingford, Louth, Ireland	EI	EI19	18297	54.04	-6.18833	-1501352	20220825083000	https://www.her.ie/celeb/vicky-phelan-bucket-list-moment-family-road-trip-562800
1060108541	20220825	202208	2022	2022.6438											IRN	IRAN	IRN								0	0353	035	03	1	7.0	6	1	6	-2.28855721393035	0								4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20220825083000	https://www.jpost.com/international/article-715561
1060108542	20220825	202208	2022	2022.6438											IRN	IRAN	IRN								0	0353	035	03	1	7.0	2	1	2	-2.28855721393035	0								4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	1	China	CH	CH		35	105	CH	20220825083000	https://www.jpost.com/international/article-715561
1060108543	20220825	202208	2022	2022.6438											IRN	IRAN	IRN								0	0353	035	03	1	7.0	2	1	2	-2.28855721393035	0								1	United Kingdom	UK	UK		54	-4	UK	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20220825083000	https://www.jpost.com/international/article-715561
1060108544	20220825	202208	2022	2022.6438											ISR	ISRAEL	ISR								0	039	039	03	1	5.0	4	1	4	-3.14523589269195	0								1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20220825083000	https://www.jwire.com.au/singling-out-jewish-businesses-in-the-name-of-palestine/
1060108545	20220825	202208	2022	2022.6438											ISR	ISRAEL	ISR								1	042	042	04	1	1.9	14	1	10	-0.92307692307692	0								4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20220825083000	https://www.i24news.tv/en/news/middle-east/palestinian-territories/1661413875-gaza-bird-trappers-hunting-for-gorgeous-parakeets
